NATIONAL BUILDINGS CONSTRUCTION CORPORTION LIMITED,elite
NATIONAL FERTILIZERS LIMITED,elite
"NATIONAL HOUSING DEVELOPMENT FINANCE CORPOARTION
LIMITED",elite
NATIONAL STOCK EXCHANGE OF INDIA LIMITED,elite
NATSTEEL HOLDINGS,elite
NAVA BHARAT VENTURES LIMITED,elite
NEETNAV REAL ESTATE PRIVATE LIMITED,elite
NELCO,elite
NELITO SYSTEMS,elite
NESTLE INDIA LIMITED,elite
NEYVELI LIGNITE CORPN LIMITED,elite
NHPC LIMITED,elite
NMDC LIMITED,elite
NORTHERN COALFEILDS LIMITED,elite
NTPC LIMITED,elite
NUCLEAR POWER CORPN OF INDIA LIMITED,elite
NUMALIGARH REFINERY LIMITED (NRL),elite
OIL & NATURAL GAS CORPN LIMITED,elite
OIL INDIA LIMITED,elite
"OOO ""SUN PHARMACEUTICAL INDUSTRIES"" LIMITED.",elite
ORACLE CORP,elite
"ORACLE FINANCIAL SERVICES SOFTWARE LIMITED (FORMERLY I-
FLEX SOLUTIONS LIMITED)",elite
ORIENT PAPER & INDS LIMITED,elite
ORIENTAL BANK OF COMMERCE,elite
OSWAL GREENTECH LIMITED,elite
PARADEEP PHOSPHATES LIMITED,elite
PETNET RADIOPHARMACEUTICAL SOLUTIONS PRIVATE. LIMITED.,elite
PETRONET CCK LIMITED (PCCKL),elite
PETRONET LNG LIMITED,elite
PFIZER LIMITED,elite
PIDILITE INDUSTRIES LIMITED,elite
PIRAMAL CORPORATE SERVICES LIMITED,elite
PIRAMAL ENTERPRISES LIMITED,elite
POLARIS CONSULTING AND SERVICES LIMITED,elite
POWER FINANCE CORPN LIMITED,elite
POWERGRID CORPORATION OF INDIA LIMITED,elite
POWERLINKS TRANSMISSION,elite
POWERLINKS TRANSMISSION LIMITED,elite
"POWERPLANT PERFORMANCE IMPROVEMENT LIMITED., NEW DELHI",elite
"PREACTOR SOFTWARE INDIA PRIVATE LIMITED, BANGALORE",elite
PRISM CEMENT LIMITED,elite
PRIZE PETROLEUM COMPANY LIMITED,elite
PROCTER & GAMBLE HYGIENE & HEALTH CARE LIMITED,elite
PTC INDIA LIMITED,elite
PUNJAB & SIND BANK,elite
PUNJAB NATIONAL BANK,elite
RALLIS INDIA,elite
RALLIS INDIA LIMITED,elite
RANBAXY DRUGS LIMITED,elite
"RANBAXY PHARMACEUTICALS (PTY) LIMITED. (PREVIOUSLY KNOWN
AS BE-TABS PHARMACEUTICALS (PROPRIETARY) LIMITED.",elite
