Company Name,Final Category
K and J PROJECTS PRIVATE LIMITED,cat-d
CROWE HORWATH IT SERVICES PRIVATE LIMITED,cat-b
AVERINA INTERNATIONAL RESORTS PRIVATE LIMITED,cat-b
ULTIMATE FLEXIPACK LIMITED,cat-b
TECHFAB INDIA INDUSTRIES LIMITED,cat-b
BENLON INDIA LTD,cat-b
SUNRAJA OIL INDUSTRIES PRIVATE LIMITED,cat-b
Nectar Prints Pvt Ltd,cat-d
Nectar Prints Pvt Ltd,cat-d
NEWSTAR TOURS and TRAVELS PRIVATE LIMITED,cat-d
NEWSTAR TOURS and TRAVELS PRIVATE LIMITED,cat-d
MONDIAL IT CONSULTANTS PRIVATE LIMITED,cat-d
MONDIAL IT CONSULTANTS PRIVATE LIMITED,cat-d
FSN E COMMERCE VENTURES PRIVATE LIMITED,cat-d
FSN E COMMERCE VENTURES PRIVATE LIMITED,cat-d
PARTHENON INDIA PVT LTD,cat-b
PARTHENON INDIA PVT LTD,cat-b
JAI CARS PVT LTD,cat-d
JAI CARS PVT LTD,cat-d
Sir Mohamed Yusuf Seamen Welfare Foundation,cat-c
Sir Mohamed Yusuf Seamen Welfare Foundation,cat-c
SAFESEA STEAMSHIP PRIVATE LIMITED,cat-d
SAFESEA STEAMSHIP PRIVATE LIMITED,cat-d
Choice Wealth Management Private Limited,cat-c
INDIGO PRINTS SMART PRIVATE LIMITED,cat-d
INDIGO PRINTS SMART PRIVATE LIMITED,cat-d
SAGAR HEALTH CARE AND DIAGNOSTIC SERVICES PRIVATE LIMITED,cat-c
PLANET E SHOP HOLDINGS INDIA LIMITED,cat-c
RPS RESEARCH INDIA PRIVATE LIMITED,cat-c
RPS RESEARCH INDIA PRIVATE LIMITED,cat-c
GENERIC ENGINEERING AND CONSTRUCTION PRIVATE LIMITED,cat-d
AUTO STEEL AND RUBBER INDUSTRIES PRIVATE LIMITED,cat-d
RASANDIK AUTO COMPONENTS PVT LTD,cat-b
SHREEGEN PHARMA LTD,cat-c
SUNNY FORESIGHT PRIVATE LIMITED,cat-d
VISHAL EARTHMOVERS INDIA PRIVATE LIMITED,cat-d
SIRONA DENTAL SYSTEMS PRIVATE LIMITED,cat-d
PRAMANIK RETAIL PRIVATE LIMITED,cat-d
HOLCIM SERVICES SOUTH ASIA LIMITED,cat-c
FEM CONSTRUCTIONS INDIA PRIVATE LIMITED,cat-d
SHREYA BROADCASTING PRIVATE LIMITED,cat-c
HALO MEDIA WORKS PRIVATE LIMITED,cat-c
SEEOM FABRICS LIMITED,cat-d
PAYMATE INDIA PRIVATE LIMITED,cat-d
QUICK INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,cat-d
AIR ARABIA PJSC,cat-a
AUTO MOBILES STERLING INDIA PVT LTD,cat-d
ASSOCIATED SOAP STONE DISTRIBUTING COMPANY PRIVATE LIMITED,cat-b
sucden india pvt ltd,cat-a
OPPO MOBILES TN PRIVATE LIMITED,cat-d
JK LAKSHMI CEMENT LIMITED,cat-a
THE ASSOCIATED PRESS,cat-b
HALLMARK AUTOMOTIVE PVT LTD,cat-b
FALCON TYRES LIMITED,cat-a
MODERN INFORMATICS PRIVATE LIMITED,cat-d
GOKUL OVERSEAS,cat-d
GOKUL OVERSEAS,cat-d
YASH ENGINEERING CONSULTANTS PRIVATE LIMITED,cat-d
FEDERAL EXPRESS CORPN,cat-a
ADCL FAFECO ENGINEERING PRIVATE LIMITED,cat-d
STG HEATING PRIVATE LIMITED,cat-d
MSN PHARMACHEM PRIVATE LIMITED,cat-b
JTB TRAVELS PRIVATE LIMITED,cat-d
TORANA ENTERPRISES PRIVATE LIMITED,cat-d
actis Technologies pvt limited,cat-c
XESTION ADVISOR PRIVATE LIMITED,cat-d
INDIAN ASSOCIATION FOR SAVINGS AND CREDIT,cat-c
ANGEL FINANCIAL ADVISORS PRIVATE LIMITED,cat-b
SHALBY LIMITED,cat-b
ALUMAYER INDIA PRIVATE LIMITED,cat-c
HIS AND HERS INDIA APPARELS PRIVATE LIMITED,cat-d
WAHEGURU ENTERPRISES PRIVATE LIMITED,cat-d
CS COMMUNICATION AND SYSTEMS INDIA PRIVATE LIMITED,cat-c
TRUE EDUCATION INSTITUTE PRIVATE LIMITED,cat-d
OLIVE ROOTS INDIA PRIVATE LIMITED,cat-d
CUBEZOID SOLUTIONS PRIVATE LIMITED,cat-d
MOBIUS SOLUTIONS PRIVATE LIMITED,cat-d
QUANICAL TECHNOLOGIES PRIVATE LIMITED,cat-d
SHREE GINGER ENTERPRISES LIMITED,cat-b
DICITEX FURNISHINGS PRIVATE LIMITED,cat-b
MUSEE MUSICAL PRIVATE LIMITED,cat-d
MOMENTUM TECHNOLOGIES INC PRIVATE LIMITED,cat-d
SWASTIK WARDROBE PRIVATE LIMITED,cat-d
LML LIMITED,cat-c
EBAOTECH INDIA PRIVATE LIMITED,cat-d
ENDRESS HAUSER FLOWTEC INDIA PRIVATE LIMITED,cat-c
TECH SIS LIMITED,cat-c
EVALUESERVE COM PRIVATE LIMITED,cat-b
WONDER GLOBAL INDIA TECHNOLOGY CENTRE PRIVATE LIMITED,cat-b
IE ONLINE MEDIA SERVICES PRIVATE LIMITED,cat-c
BIOTIC WASTE SOLUTIONS PRIVATE LIMITED,cat-d
POOJA CASTINGS PVT LTD,cat-c
UTTARA IMPEX PRIVATE LIMITED,cat-c
CLIX CAPITAL SERVICES PRIVATE LIMITED,super-a
SUPERSOFT CONSULTANTS PRIVATE LIMITED,cat-d
SOFTKEY EDUCATION AND INFOTECH LIMITED,cat-d
JSIW INFRASTRUCTURE PRIVATE LIMITED,cat-b
BAKER HUGHES SINGAPORE PTE LTD,cat-c
ATTIVO PROTEZIONE PRIVATE LIMITED,cat-d
SEFAR INDIA PRIVATE LIMITED,cat-c
ECOMAISTER BEADS INDIA PVT LTD,cat-c
PARAS RAMPURIA HOTELS PVT LTD,cat-d
MANAS LIFESTYLE PROPERTIES PVT LTD,cat-d
JINDAL STAINLESS HISAR LIMITED,cat-b
ADITYA INFORMATIQUE INDIA PVT LTD,cat-d
German Magnetic Water Solutions Pvt Ltd,cat-d
AR VENTURE FUNDS MANAGEMENT PRIVATE LIMITED,cat-b
SAL SECURITIES PVT LTD,cat-d
ADREM INDIA Private limited,cat-d
SCHEMAX EXPERT TECHNO CRAFTS PRIVATE LIMITED,cat-d
I T SOLUTIONS INDIA PRIVATE LIMITED,cat-d
MANOHAR INFRASTRUCTURE AND CONSTRUCTIONS PVT LTD,cat-c
NEW OPPORTUNITY CONSULTANCY PRIVATE LIMITED,cat-c
CAPITAL VENTURES PRIVATE LIMITED,cat-c
UCREATE IT PRIVATE LIMITED,cat-d
PREMIER CONSULTANT AND TRADERS LIMITED,cat-d
Ken Research Private Limited,cat-d
RAJ WATERSCAPE PROPERTIES PRIVATE LIMITED,cat-c
STREPARAVA INDIA PRIVATE LIMITED,cat-b
himalayan infracorp private limited,cat-c
KUDUMA FASTENERS PRIVATE LIMITED,cat-b
ITRIANGLE INFOTECH PRIVATE LIMITED,cat-d
SAVVYMOB TRAVEL SOLUTIONS PVT LTD,cat-c
NANGIA AND CO,cat-c
NANGIA AND CO,cat-c
LA CALYPSO HOTELS PRIVATE LIMITED,cat-d
WRIG NANOSYSTEMS PRIVATE LIMITED,cat-d
VAIBHAV JOSHI CONSULTANTS PRIVATE LIMITED,cat-d
PI INDUSTRIES LIMITED,super-a
HIGHCO ENGINEERS PVT LTD,cat-b
RED BARON INTEGRATED SERVICES PRIVATE LIMITED,cat-c
STUDYMODE TECHNOLOGIES PRIVATE LIMITED,cat-c
SHRIS INFOTECH SERVICES PRIVATE LIMITED,cat-d
EVERETT INDIA PVT LTD,cat-b
HAGWOOD COMMERCIAL DEVELOPERS PRIVATE LIMITED,cat-b
ABILITIES INDIA PISTONS AND RINGS LTD,cat-b
MECHVAC INDIA LTD,cat-b
TRENT HYPERMARKET PRIVATE LIMITED,cat-c
